,screen_name,lang,followers_count,friends_count,cluster_name,cluster_country,description
0,NHAparty,en,68079,39324,British,UK,National Health Action Party. UK political party fighting for a healthy NHS and a fairer society. Putting patients before profits & opposing #NHS privatisation
1,sundersays,en,13337,5588,British,UK,"Director of @britishfuture on identity and integration, immigration and opportunity. Dad of 4. Evertonian. Tweets are personal"
2,Anothergreen,en,19748,17325,British,UK,"#GreenParty International coordinator, author of 'Economics after #Capitalism' http://t.co/G62QJCEqbP 
@M_Star_Online writer"
3,paulstpancras,en,4855,4689,British,UK,"Teacher, media relations, constitutional advisor, husband and father, friend. RTs ≠ endorsement. paulstpancras@gmail.com"
4,J_Bloodworth,en,9232,1314,British,UK,"Editor-in-chief of Left Foot Forward and columnist for IB Times. Also in the Daily Beast, WSJ, Spectator, Independent. Editor@leftfootforward.org"
5,LozKaye,en,4103,2618,British,UK,Contributing author FightBack UK. Mass surveillance naysayer. Intrepid provider of music solutions. Manchester campaigner. The Telegraph: incredibly cheerful
6,latentexistence,en,6830,3191,British,UK,"~ A triumph of curry over adversity ~ 
Expect swearing about illness and politicians. 
Mitochondrial disease · Powerchair user · Trans · She/they"
7,EU_Buster,en,4502,4578,British,UK,#EU has gone too far in an undemocratic way. A firm believer that this project must and will end. Not affiliated to any party. #Brexit
8,swilliamsmp,en,8474,738,British,UK,"Liberal Democrat MP for Bristol West 2005-15. Former government minister. Recovering politician. 
Mail stephen@stephenwilliams.org.uk"
9,Asher_Wolf,en,37954,19638,British,UK,Cryptoparty founder. Amnesty Australia 'Humanitarian Media Award' recipient 2014.
10,TheGreenParty,en,154154,14351,British,UK,Help us change politics and build a society that works for the common good http://t.co/8QuzNckuU5. Follow Green Party Leader @natalieben
11,AllieRenison,en,3726,1517,British,UK,Head of Europe and Trade Policy at @The_IoD. Transplanted D.C. native in London-town. LIVERPOOL.
12,PiratePartyUK,en,16206,3932,British,UK,The Pirate Party in the UK
13,CompassOffice,en,14092,8440,British,UK,"Compass is the home for everyone who wants to be part of a much more equal, democratic and sustainable future"
14,brown_moses,en,55,0,British,UK,You can now find me at @eliothiggins
15,EP_Edinburgh,en,10646,11631,British,UK,Information office based in Edinburgh engaging with citizens about the activities of the European Parliament. Similar to @epinUK except we like Irn-Bru.
16,BBCPolitics,en,315811,88,British,UK,The official account for political news from the BBC team based at Westminster
17,KarlTurnerMP,en,13718,5913,British,UK,MP for East Hull. #EastHullBornandBred Shadow Solicitor General. I'm backing @AndyBurnhamMP
18,GreenLibDems,en,3693,3126,British,UK,UK Liberal Democrats Associated Organisation. NB: Ts (and RTs) not official position statements. Block on abuse/spam/climate change denial policy.
19,IndexCensorship,en,29477,1145,British,UK,The voice of free expression.
20,calestous,en,79998,393,British,UK,"Professor @Harvard @Kennedy_School works on science, technology and innovation for development. To follow is a privilege; to be followed is an honor."
21,benfolley,en,3468,2884,British,UK,"Socialist. Trying to do the right thing, through politics, folk and photos..."
22,davidmartinmep,en,4811,1414,British,UK,"UK's longest serving MEP (Lothians 1984-1999 Scotland 1999...). Labour Party, former Vice-President of the European Parliament & leader of Labour Group."
23,BBCNews,en,4839830,106,British,UK,"News, features and analysis (http://t.co/FAlDvMMUEb).  World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport"
24,OpenRightsGroup,en,29175,5229,British,UK,Open Rights Group exists to preserve and promote your rights in the digital age. We are funded by individuals who care about their digital rights.
25,Jude_KD,en,4849,4056,British,UK,Labour MEP for North East of England. Proud to be from Boro. Quaker. Own views...
26,Iainmckie_UKIP,en,3052,3352,British,UK,Chairman UKIP Isle of Wight
27,patrickharvie,en,46887,1455,British,UK,Green MSP for Glasgow. Called in the Daily Mail 'voice of the irresponsible left-led anti-family anti-christian gay whales against the bomb coalition'
28,PaulbernalUK,en,11604,9395,British,UK,"UEA Law Lecturer: privacy & human rights… author of 'Internet Privacy Rights'... politics, satire, even poetry! 'Worse than Katie Hopkins' according to a Kipper"
29,igeldard,en,13828,10676,British,UK,"Global news on civil liberty, national security, UK/US politics and the EU. RTs ≠ endorsement"
30,wwf_uk,en,143473,3718,British,UK,"We are much more than #pandas & #tigers. We work to help #rivers, #forests, #climate & #oceans. It's all about people & nature living in harmony."
31,julianhuppert,en,18733,182,British,UK,"Former MP for Cambridge 
Liberal Democrat"
32,scott_eff,en,2700,2618,British,UK,"@The_SSP_ member. Movie lover. Geek of many disciplines. Occasional Python coder. Opinions are my own, not my party or the people who pay me. RT != endorsement."
33,NSinclaireMEP,en,4,3,British,UK,Member of the European Parliament for the West Midlands 2009 - 2014. New twitter handle is @NikkiSinclaire7 MEP archive at http://t.co/1tYEsVeltv
34,jasonkitcat,en,5104,342,British,UK,Interim Digital Lead @demsoc & Independent Consultant on #localgov | digital | change *All views are my own*
35,ThomasEvansUKIP,en,5591,5959,British,UK,Photographer. UKIP member. Sussex - Save Dawlish line! Blackburn Rovers supporter - Disabled - Feel free to copy tweets as Retweets
36,WiredUK,en,248514,314,British,UK,Wired editor David Rowan and the magazine and online team. Read more at http://t.co/P7MCr9nq0l.
37,GlenisWillmott,en,6449,1141,British,UK,Labour's Leader in Europe and MEP for the East Midlands.
38,LabourLeft,en,26485,6576,British,UK,Ethical Socialism
39,labour52rose,en,4837,4078,British,UK,"Left leaning Labour Party member and massive supporter of Ed Miliband, CFC, and F1. A woman of discerning tastes."
40,GMWatch,en,25869,1318,British,UK,Countering the propaganda of the biotech industry
41,victorshannock,en,6562,6209,British,UK,A Norfolkman now living in Suffolk Catholic; for peace identity biodiversity; interests: wildlife conservation poetry valuing localism; my views are just my own
42,OhBrokenBritain,en,2489,1777,British,UK,"Politicians of all persuasions have robbed this country of its fun, its pride, its heritage, its integrity and its culture. Its time for change. UKIP"
43,jlj21964,en,2963,2468,British,UK,.
44,TheDrum,en,139985,2000,British,UK,The home of modern marketing and media in the UK and US.  The Drum is UK's most visited marketing news website and AOP editorial team of the year 2014 & 2015.
45,DavidJo52951945,en,21878,21571,British,UK,"UK government have abandoned Brits. We need to exit EU, ECHR, stop all immigration + look after British people. Like UKIP. All my views. I follow back"
46,sionsimon,it,6725,1875,British,UK,"Labour MEP for the West Midlands & European Spokesperson on Employment || Dogs, countryside, coffee, weight training, #WBA, @theRSC, literature."
47,ByronSanford,en,2106,1833,British,UK,22.Eagle Scout.Lived in #Bogotá.@ColGranBretana Grad.USC Alum.IRMajor.Interned for Sen Scott & @RonPaul's Pres HQ.Grad School in London.Writer @politicalSBUK
48,DanHannanMEP,en,60346,500,British,UK,"Old Whig. Columnist with CapX, ConservativeHome and the Washington Examiner. Author of 'How we Invented Freedom'. Conservative MEP. Loves Europe, not the EU."
49,DavidCoburnUKip,en,11438,9480,British,UK,"@UKIP Member of European Parliament for Scotland, Leader UKIP Scotland, YI hon co-President, NEC member, Unionist & Libertarian #Ayn Rand"
50,DouglasCarswell,en,37729,1043,British,UK,"Clacton, Frinton, Walton. All things digital. Aquaculture. Swimming. Running. Gardening. Free trade Gladstonian."
51,richardcalhoun,en,16052,9089,British,UK,Classical Liberal
52,ThereWasACoo,en,3653,784,British,UK,"On yonder hill there stood a coo. It's no there noo, it must hae shiftit..."
53,demsoc,en,10772,8603,British,UK,"Making democracy work for the 21st century. A membership organisation. Engaged, independent and non-partisan. Get involved for free at http://t.co/7a4lxcbSOm"
54,Tomimorrison,en,2436,301,British,UK,"Lefty leaning Scottish father of two, husband to one. Proudly part of #the45 & #SNP. Work in Scottish NHS. that's reason enough!"
55,Tony_McNulty,en,6359,3751,British,UK,
56,AlbertoNardelli,en,31975,3912,British,UK,Data editor at the @Guardian. 'The best hair in journalism' - anonymous
57,GawainTowler,en,6233,4027,British,UK,"UKIP coms chap and 'Cheery fellow' 
supposedly"
58,83Celt,en,6045,5560,British,UK,Scottish Socialist Humanitarian Free thinker Free Spirit. Family Motto: Sero Sed Serio VOTE #SNP 2016 1297 Stirling Bridge Scots wha hae wi Wallace Bled
59,IvanaBartoletti,en,3683,4047,British,UK,"Havering & Redbridge's @UKLabour candidate for the London Assembly in 2016. Work for NHS Protect, chair the Fabian Women's Network & campaign for Britain in EU."
60,franceshinde,en,5773,5319,British,UK,Truth seeker. Humanist. Still fighting for  the young and the weak. . MBE for services to education and vulnerable.
61,AlynSmithMEP,en,8260,1646,British,UK,"Member of the European Parliament for @theSNP for #Scotland. Member of the #ForeignAffairs and #Agriculture Committees, #Iraq and #Arab Peninsula Delegations."
62,Liam_Beattie,en-gb,2895,3180,British,UK,Reporter @Newsdirect | Contributed @BBCGen2015 | Blog @HuffPostUK | Former intern @EuroParl_EN @Youth_Forum | Learning dansk | Own views |http://t.co/SATnsyYHg3
63,ToniGiugliano,en,4730,1652,British,UK,"Scots-Italian, mental health charity worker, SNP candidate for Edinburgh Western, SNP NEC member, ex EU lobbyist. Haggis rav is the signature dish. Views my own"
